method,path,function_name,file_path,tags,auth_dependency,notes
POST,/api/offers,create_offer,app/routes/offers.py,Offers / BOQ,,
DELETE,/api/offers/{offer_id},delete_offer,app/routes/offers.py,Offers / BOQ,,
GET,/api/offers/{offer_id},get_offer,app/routes/offers.py,Offers / BOQ,,
PUT,/api/offers/{offer_id},update_offer,app/routes/offers.py,Offers / BOQ,,
POST,/api/offers/{offer_id}/accept,accept_offer,app/routes/offers.py,Offers / BOQ,,
PUT,/api/offers/{offer_id}/lines,update_offer_lines,app/routes/offers.py,Offers / BOQ,,
POST,/api/offers/{offer_id}/new-version,create_offer_version,app/routes/offers.py,Offers / BOQ,,
POST,/api/offers/{offer_id}/reject,reject_offer,app/routes/offers.py,Offers / BOQ,,
POST,/api/offers/{offer_id}/send,send_offer,app/routes/offers.py,Offers / BOQ,,
GET,/api/organization,get_organization,app/routes/auth.py,auth,,
PUT,/api/organization,update_organization,app/routes/auth.py,auth,,
GET,/api/overhead/allocations,list_overhead_allocations,app/routes/overhead.py,Dashboard / Overhead,,
GET,/api/overhead/assets,list_overhead_assets,app/routes/overhead.py,Dashboard / Overhead,,
POST,/api/overhead/assets,create_overhead_asset,app/routes/overhead.py,Dashboard / Overhead,,
DELETE,/api/overhead/assets/{asset_id},delete_overhead_asset,app/routes/overhead.py,Dashboard / Overhead,,
PUT,/api/overhead/assets/{asset_id},update_overhead_asset,app/routes/overhead.py,Dashboard / Overhead,,
GET,/api/overhead/categories,list_overhead_categories,app/routes/overhead.py,Dashboard / Overhead,,
POST,/api/overhead/categories,create_overhead_category,app/routes/overhead.py,Dashboard / Overhead,,
DELETE,/api/overhead/categories/{cat_id},delete_overhead_category,app/routes/overhead.py,Dashboard / Overhead,,
PUT,/api/overhead/categories/{cat_id},update_overhead_category,app/routes/overhead.py,Dashboard / Overhead,,
GET,/api/overhead/costs,list_overhead_costs,app/routes/overhead.py,Dashboard / Overhead,,
POST,/api/overhead/costs,create_overhead_cost,app/routes/overhead.py,Dashboard / Overhead,,
DELETE,/api/overhead/costs/{cost_id},delete_overhead_cost,app/routes/overhead.py,Dashboard / Overhead,,
PUT,/api/overhead/costs/{cost_id},update_overhead_cost,app/routes/overhead.py,Dashboard / Overhead,,
GET,/api/overhead/enums,get_overhead_enums,app/routes/overhead.py,Dashboard / Overhead,,
GET,/api/overhead/snapshots,list_overhead_snapshots,app/routes/overhead.py,Dashboard / Overhead,,
POST,/api/overhead/snapshots/compute,compute_overhead_snapshot,app/routes/overhead.py,Dashboard / Overhead,,
GET,/api/overhead/snapshots/{snapshot_id},get_overhead_snapshot,app/routes/overhead.py,Dashboard / Overhead,,
POST,/api/overhead/snapshots/{snapshot_id}/allocate,allocate_overhead_to_projects,app/routes/overhead.py,Dashboard / Overhead,,
GET,/api/payroll-enums,get_payroll_enums,app/routes/hr.py,HR / Payroll,,
GET,/api/payroll-runs,list_payroll_runs,app/routes/hr.py,HR / Payroll,,
POST,/api/payroll-runs,create_payroll_run,app/routes/hr.py,HR / Payroll,,
DELETE,/api/payroll-runs/{run_id},delete_payroll_run,app/routes/hr.py,HR / Payroll,,
GET,/api/payroll-runs/{run_id},get_payroll_run,app/routes/hr.py,HR / Payroll,,
POST,/api/payroll-runs/{run_id}/finalize,finalize_payroll,app/routes/hr.py,HR / Payroll,,
POST,/api/payroll-runs/{run_id}/generate,generate_payroll,app/routes/hr.py,HR / Payroll,,
GET,/api/payslips,list_payslips,app/routes/hr.py,HR / Payroll,,
GET,/api/payslips/{payslip_id},get_payslip,app/routes/hr.py,HR / Payroll,,
POST,/api/payslips/{payslip_id}/mark-paid,mark_payslip_paid,app/routes/hr.py,HR / Payroll,,
POST,/api/payslips/{payslip_id}/set-deductions,set_payslip_deductions,app/routes/hr.py,HR / Payroll,,
POST,/api/platform/bootstrap-create-platform-admin,bootstrap_create_platform_admin,app/routes/platform.py,Platform Bootstrap,,ONE-TIME USE: Create the first Platform Admin user.
GET,/api/platform/bootstrap-status,bootstrap_status,app/routes/platform.py,Platform Bootstrap,,Check if bootstrap endpoint is enabled (token configured).
GET,/api/project-enums,get_project_enums,app/routes/projects.py,projects,,
GET,/api/projects,list_projects,app/routes/projects.py,projects,,
POST,/api/projects,create_project,app/routes/projects.py,projects,,
DELETE,/api/projects/{project_id},delete_project,app/routes/projects.py,projects,,
GET,/api/projects/{project_id},get_project,app/routes/projects.py,projects,,
PUT,/api/projects/{project_id},update_project,app/routes/projects.py,projects,,
GET,/api/projects/{project_id}/phases,list_phases,app/routes/projects.py,projects,,
POST,/api/projects/{project_id}/phases,create_phase,app/routes/projects.py,projects,,
DELETE,/api/projects/{project_id}/phases/{phase_id},delete_phase,app/routes/projects.py,projects,,
PUT,/api/projects/{project_id}/phases/{phase_id},update_phase,app/routes/projects.py,projects,,
GET,/api/projects/{project_id}/team,list_project_team,app/routes/projects.py,projects,,
POST,/api/projects/{project_id}/team,add_team_member,app/routes/projects.py,projects,,
DELETE,/api/projects/{project_id}/team/{member_id},remove_team_member,app/routes/projects.py,projects,,
POST,/api/reminders/excuse,excuse_reminder,app/routes/attendance.py,attendance,,
GET,/api/reminders/logs,get_reminder_logs,app/routes/attendance.py,attendance,,
GET,/api/reminders/missing-attendance,api_missing_attendance,app/routes/attendance.py,attendance,,
GET,/api/reminders/missing-work-reports,api_missing_work_reports,app/routes/attendance.py,attendance,,
GET,/api/reminders/policy,get_reminder_policy_route,app/routes/attendance.py,attendance,,
POST,/api/reminders/send,send_reminders_manual,app/routes/attendance.py,attendance,,
GET,/api/roles,list_roles,app/routes/health.py,misc,,
GET,/api/subscription,get_subscription,app/routes/health.py,misc,,
GET,/api/users,list_users,app/routes/auth.py,auth,,
POST,/api/users,create_user,app/routes/auth.py,auth,,
DELETE,/api/users/{user_id},delete_user,app/routes/auth.py,auth,,
PUT,/api/users/{user_id},update_user,app/routes/auth.py,auth,,
POST,/api/work-reports/draft,create_or_get_draft,app/routes/attendance.py,attendance,,
GET,/api/work-reports/my-range,get_my_work_reports_range,app/routes/attendance.py,attendance,,
GET,/api/work-reports/my-today,get_my_work_reports_today,app/routes/attendance.py,attendance,,
GET,/api/work-reports/project-day,get_project_day_reports,app/routes/attendance.py,attendance,,
GET,/api/work-reports/{report_id},get_work_report,app/routes/attendance.py,attendance,,
PUT,/api/work-reports/{report_id},update_work_report,app/routes/attendance.py,attendance,,
POST,/api/work-reports/{report_id}/approve,approve_work_report,app/routes/attendance.py,attendance,,
POST,/api/work-reports/{report_id}/reject,reject_work_report,app/routes/attendance.py,attendance,,
POST,/api/work-reports/{report_id}/submit,submit_work_report,app/routes/attendance.py,attendance,,
