path,methods,route_name,handler_func
/api/payroll-runs/{run_id}/finalize,POST,finalize_payroll,finalize_payroll
/api/payroll-runs/{run_id}/generate,POST,generate_payroll,generate_payroll
/api/payslips,GET,list_payslips,list_payslips
/api/payslips/{payslip_id},GET,get_payslip,get_payslip
/api/payslips/{payslip_id}/mark-paid,POST,mark_payslip_paid,mark_payslip_paid
/api/payslips/{payslip_id}/set-deductions,POST,set_payslip_deductions,set_payslip_deductions
/api/project-enums,GET,get_project_enums,get_project_enums
/api/projects,GET,list_projects,list_projects
/api/projects,POST,create_project,create_project
/api/projects/{project_id},DELETE,delete_project,delete_project
/api/projects/{project_id},GET,get_project,get_project
/api/projects/{project_id},PUT,update_project,update_project
/api/projects/{project_id}/phases,GET,list_phases,list_phases
/api/projects/{project_id}/phases,POST,create_phase,create_phase
/api/projects/{project_id}/phases/{phase_id},DELETE,delete_phase,delete_phase
/api/projects/{project_id}/phases/{phase_id},PUT,update_phase,update_phase
/api/projects/{project_id}/team,GET,list_project_team,list_project_team
/api/projects/{project_id}/team,POST,add_team_member,add_team_member
/api/projects/{project_id}/team/{member_id},DELETE,remove_team_member,remove_team_member
/api/reminders/excuse,POST,excuse_reminder,excuse_reminder
/api/reminders/logs,GET,get_reminder_logs,get_reminder_logs
/api/reminders/missing-attendance,GET,api_missing_attendance,api_missing_attendance
/api/reminders/missing-work-reports,GET,api_missing_work_reports,api_missing_work_reports
/api/reminders/policy,GET,get_reminder_policy,get_reminder_policy
/api/reminders/send,POST,send_reminders_manual,send_reminders_manual
/api/roles,GET,list_roles,list_roles
/api/subscription,GET,get_subscription,get_subscription
/api/users,GET,list_users,list_users
/api/users,POST,create_user,create_user
/api/users/{user_id},DELETE,delete_user,delete_user
/api/users/{user_id},PUT,update_user,update_user
/api/work-reports/draft,POST,create_or_get_draft,create_or_get_draft
/api/work-reports/my-range,GET,get_my_work_reports_range,get_my_work_reports_range
/api/work-reports/my-today,GET,get_my_work_reports_today,get_my_work_reports_today
/api/work-reports/project-day,GET,get_project_day_reports,get_project_day_reports
/api/work-reports/{report_id},GET,get_work_report,get_work_report
/api/work-reports/{report_id},PUT,update_work_report,update_work_report
/api/work-reports/{report_id}/approve,POST,approve_work_report,approve_work_report
/api/work-reports/{report_id}/reject,POST,reject_work_report,reject_work_report
/api/work-reports/{report_id}/submit,POST,submit_work_report,submit_work_report
